student_id,email_topic
1007266450,"Exploring internship opportunities"
1006965198,"Requesting an informational interview"
1007264452,"Seeking mentorship in the field"
1007822260,"Inquiring about career advice"
1007768015,"Learning about company culture"
1005241132,"Exploring entry-level job roles"
1006523497,"Asking for job shadowing"
1008508214,"Understanding a day in the life of a role"
1012826186,"Gaining insight on career paths in the company"
1007483858,"Meeting to discuss long-term career goals"
1007286483,"Proposing a university research collaboration"
1002946324,"Inviting the executive to be a guest speaker"
1012098258,"Discussing a case study involving the company"
1012156079,"Requesting support for a capstone project"
1007021802,"Partnering for a student competition"
1011925641,"Requesting data access for academic purposes"
1007623118,"Inviting the executive to judge a business pitch competition"
1007638335,"Interviewing for a thesis paper"
1011886924,"Discussing how to align academic programs with industry needs"
1005930771,"Seeking feedback on student startup ideas"
1007737898,"Following up after a career fair"
1007764028,"Inquiring about upcoming internship cycles"
1012563067,"Requesting a meeting to discuss a recent job application"
1012859177,"Exploring co-op opportunities"
1006925945,"Requesting resume feedback"
1012837405,"Expressing interest in future opportunities"
1007810317,"Inquiring about company hiring timeline"
1006693589,"Asking about the best preparation for company roles"
1012027487,"Exploring diversity internship programs"
1005902917,"Applying for a summer leadership program"
1008763606,"Pitching a student-led startup idea"
1008124708,"Requesting advice on early-stage funding"
1006861120,"Seeking partnership opportunities"
1007100236,"Discussing market validation strategies"
1012838770,"Exploring pilot program opportunities"
1006678301,"Meeting to propose a technology collaboration"
1006921244,"Asking for feedback on a business model"
1007977646,"Requesting guidance on scaling a product"
1007746753,"Discussing potential joint ventures"
1007936003,"Sharing a prototype for review"
1006833802,"Inquiring about innovation strategy"
1008038767,"Meeting to discuss industry trends"
1008336034,"Discussing sustainability initiatives"
1003814571,"Learning about AI implementation in the company"
1008072185,"Exploring blockchain use in the business"
1005342693,"Requesting input on digital transformation"
1012135093,"Asking about the role of big data"
1007743658,"Exploring automation impact on jobs"
1007927790,"Understanding company R&D efforts"
1012859168,"Requesting a tour of the innovation lab"
1005012102,"Discussing sustainability projects"
1012098267,"Proposing a student-led community initiative"
1007967381,"Requesting CSR project collaboration"
1012046803,"Exploring company’s DEI initiatives"
1005106332,"Requesting support for a campus clean-up drive"
1008126421,"Inviting the executive to a social impact panel"
1007733909,"Pitching an environmental awareness campaign"
1007894879,"Requesting funding for a charity event"
1005592351,"Exploring ethical sourcing practices"
1012829290,"Discussing impact investing trends"
1004428452,"Requesting feedback on a marketing campaign idea"
1012136680,"Meeting to understand product development lifecycle"
1006174042,"Exploring brand collaboration for a student event"
1006835613,"Pitching a social media takeover"
1007958453,"Suggesting user testing by students"
1012085039,"Requesting sample products for review"
1007715572,"Proposing a student ambassador program"
1007658241,"Inquiring about customer insights practices"
1004931032,"Asking about marketing analytics tools"
1007112722,"Discussing branding strategy in new markets"
1006927337,"Inquiring about financial leadership paths"
1007731518,"Requesting a meeting to understand budgeting practices"
1007070820,"Exploring corporate M&A strategy"
1006071518,"Discussing company’s IPO journey"
1006681226,"Learning about business model evolution"
1003870554,"Discussing financial forecasting techniques"
1006212634,"Asking about investment prioritization"
1006675545,"Exploring strategic partnerships"
1007836665,"Requesting insights on risk management"
1007730449,"Learning about ESG reporting practices"
1007881320,"Understanding logistics challenges"
1008282519,"Inquiring about vendor relationship management"
1007165737,"Exploring ethical supply chain practices"
1008551577,"Discussing inventory management tools"
1007730948,"Learning about global distribution strategy"
1008142644,"Requesting a meeting to understand quality control"
1007645979,"Exploring procurement systems"
1007849811,"Understanding supply chain digitization"
1007728158,"Discussing operational efficiency initiatives"
1004832201,"Asking about warehouse automation"
1007738245,"Exploring leadership development programs"
1008052250,"Discussing the executive's leadership journey"
1008076920,"Understanding company core values"
