student_id,q1,q2,q3,q4,q5
1007266450,"What is the allocated budget for Army space and strategic missile test range infrastructure restoration and modernization according to SEC. 20003(b)?","How much funding is allocated for upgrades to Marine Corps utility helicopters under SEC. 20010?","What process does Section 40002 require the FCC to use for granting licenses?","What is the new amount mentioned in subparagraphs (A)(ii) and (B)(ii) after the amendment?","What is the new dollar amount specified in subparagraph (A) of section 2010(c)(3) after the amendment?"
1006965198,"What is the result of repealing subsection (e) of section 50262 of Public Law 117–169?","What does section 30003(e) specify regarding the status of the Securities and Exchange Commission Reserve Fund?","What is the amount allocated for air moving target indicator military satellites under SEC. 20003(a)?","How much funding is specified for the Gateway program for each fiscal year from 2026 to 2028 according to Section 40005?","What action does SEC. 60014 propose regarding unobligated balances for the EPA?"
1007264452,"What is the timeframe for the two annual Gulf of Mexico offshore lease sales each calendar year from 2026 through 2039?","How much funding is allocated for the procurement of Army wheeled combat vehicles under SEC. 20010?","What is the allocated budget for improving maritime domain awareness as specified in the special appropriation?","What is the allocated budget for the Pacific Air Force biennial large-scale exercise according to SEC. 20005(a)?","What is the amount allocated for secondary capability modernization under SEC. 20008(b)?"
1007822260,"What is the soybean reference price set for the 2025 crop year according to Section 10301?","What is the amount of funding appropriated for runway safety technologies and related airport improvements under Section 40003?","How much money has been appropriated under SEC. 20007 to accelerate the Collaborative Combat Aircraft program?","Who is eligible to participate under Section 10108 according to the Refugee Education Assistance Act?","What change was made to Section 132(f) regarding employer-provided transportation benefits?"
1007768015,"What document is used as the reference report for the items and quantities of food in Section 10101?","What happens if total allocations exceed thirty million acres according to Section 10302?","What happens to an increase that is not a multiple of $100?","What is the new funding cap for the Bureau of Consumer Financial Protection after the amendment in section 30001?","What happens to the unobligated balances of funds originally allocated under section 60112 of Public Law 117–169?"
1005241132,"What action is the President required to take under Section 40002 before the commencement of a frequency auction, and within what timeframe, if national security is at risk?","What is outlined under Section 70102(a)(2)?","What is the percentage defined for an eight-person household according to Section 10101?","What does SEC. 60003 say about funding for diesel emissions reductions?","How much funding is allocated for the design, planning, engineering, construction, and program management of the enlisted boot camp barracks and multi-use training center?"
1006523497,"What is required for a State agency to request an exemption under Section 10102?","What is required for a social security number to be valid for a U.S. citizen before a tax return's due date?","What is the total amount appropriated under SEC. 20008(a) for the development, procurement, and integration of military nuclear weapons delivery programs?","What is the final expiration date for an exemption under Section 10102?","What does Section 15 of the Internal Revenue Code of 1986 not apply to, according to the context provided?"
1008508214,"What amendment has been made regarding the specific date mentioned in the matter?","What is the amount appropriated under SEC. 20005(a) for military additive manufacturing capabilities west of the international dateline?","When is the deadline for the Commission to complete competitive bidding for at least 200 MHz of the frequencies according to Section 40002?","What is required for Clause (i) to apply according to the context provided?","How much funding is allocated for the homeporting of the polar icebreaker commissioned into service in 2025?"
1012826186,"What is the reference price for other oilseeds beginning with the 2025 crop year according to Section 10301?","What is the allocated budget for development and testing of directed energy capabilities under SEC. 20003(a)?","What is the maximum amount of funding allocated for homeporting facilities and hangars for cutters and aircraft?","What is the amount appropriated under SEC. 20007 for KC-135 Mobility Aircraft Connectivity?","What is the reference price for medium grain rice for the 2025 crop year as set by Section 10301?"
1007483858,"What does Section 70103(a)(3) address or refer to?","What is the maximum amount that can be determined for any qualifying child under subsection (d)(1)(A)?","What does SEC. 60006 pertain to in the context of funding for environmental programs?","What information must a taxpayer include on their return to qualify for the senior deduction?","What does SEC. 60007 address in relation to section 211(o) of the Clean Air Act?"
1007286483,"How much funding is appropriated for the acceleration of hypersonic defense systems under SEC. 20003(b)?","What is the new amended heading text for '2018 THROUGH 2025'?","What is the purpose of the funds appropriated in section 30004?","What does Section 10101 restrict in terms of market basket changes?","What is a reason the Secretary of the Interior might deny an operator's request to commingle production?"
1002946324,"What change has been made to the offshore royalty rates in the Outer Continental Shelf Lands Act according to the recent amendment?","What condition must an individual meet to participate under Section 10108?","What is the total amount appropriated for bonuses, special pays, and incentive pays for members of the Army, Air Force, Navy, Marine Corps, and Space Force under SEC. 20001(a)?","What is the purpose of Section 10101 in relation to Guam and the Virgin Islands of the United States?","What change was made to the matter preceding subparagraph (A) regarding the date?"
1012098258,"What is the purpose of rescinding the unobligated balances of funding in SEC. 60004?","What are the amended lease payments for Washington airports for the year 2027 and beyond according to Section 40007?","What is the focus of the technical amendment described in Section 30003(b)?","What change is made to Section 1017(a)(2)(A)(iii) of the Consumer Financial Protection Act of 2010 regarding the funding cap for the Bureau of Consumer Financial Protection?","What is the purpose of section 30004 in relation to the Defense Production Act as codified at 50 U.S.C. 4501 et seq.?"
1012156079,"What is the deduction amount allowed for each qualified individual for a taxable year beginning before January 1, 2029?","What does Section 70001(b) specifically address?","What is outlined in Section 70102(b)(3)?","What does the clause in SEC. 60021 state about funding for low-carbon materials for Federal buildings?","How much funding is appropriated for Special Operations Command under SEC. 20010?"
1007021802,"How much funding is specified for the Space Launch System's Artemis IV and V missions?","What is the deadline for the Secretary of the Interior to publish the required environmental reviews for qualified coal lease applications after the enactment of the Act?","What is the minimum lease payment required per year according to Section 40007?","Which jurisdictions are included in the definition of \"State\" for disaster purposes?","What is the amount appropriated for the Defense Production Act for fiscal year 2025 as stated in section 30004?"
1011925641,"What is the allocated amount of appropriations for the accelerated development of non-kinetic capabilities under SEC. 20005(a)?","What is added to adjusted gross income to calculate modified adjusted gross income for senior deduction purposes?","What type of payments are excluded from the fifty-percent cap on adjusted gross income according to Section 10308?","What change was made to the heading in Section 151(d)(5) regarding the termination of personal exemptions?","What is the relevance of Section 20001(c)(3) of Public Law 115–97 to offshore lease surface development?"
1007623118,"What is the amount appropriated for the National Nuclear Security Administration's evaluation of spent fuel reprocessing technology under SEC. 20004(a)?","What is the purpose of the amendment mentioned in the context?","What action must the Secretary of the Interior take concerning onshore oil and gas lease sales according to the Mineral Leasing Act?","What factors does the Secretary consider when determining good faith under Section 10102?","What ratios will the Secretary use for household adjustments according to Section 10101?"
1007638335,"How much funding is allocated for increasing EA-37B production under SEC. 20007?","What amendment was made to clause (i) of section 165(h)(5)(B)?","What is the amount appropriated for the retention of inactive reserve fleet ships under SEC. 20002?","What is the maximum percentage by which additional base acres can exceed the total farm acres under Section 10302?","What is the purpose of the $200,000,000 appropriation mentioned in SEC. 20006?"
1011886924,"What is the allocated amount for anti-submarine sonar arrays according to SEC. 20005(a)?","What does SEC. 60016 pertain to in terms of funding? ","What is the amount allocated under SEC. 20010 for the completion of Robotic Combat Vehicle prototyping?","What is the allocated budget for the deployment of military personnel in support of border operations and related activities under SEC. 20011?","What is the caregiving exception for individuals with responsibility for a dependent child under fourteen years of age according to Section 10102?"
1005930771,"What amount of funding is appropriated for the sustainment, restoration, and modernization of military unaccompanied housing under SEC. 20001(a)?","What happens to the remaining amounts as specified in section 30003(d)?","What coverage level will producers who elect Agriculture Risk Coverage for 2025 receive for the years 2026 through 2031?","What is the amount allocated for Navy depot and shipyard modernization and capacity enhancement under SEC. 20010?","What factors make a farm ineligible for additional base acres under Section 10302?"
1007737898,"What is the new deduction limit for a single filer under the amended section 199A(b)(3)?","What is the total amount appropriated to NASA for the Mars and Artemis missions for fiscal year 2025?","What is the amount appropriated under SEC. 20002 for the development of a Test Resource Management Center robotic autonomous systems proving ground?","What is the primary focus of Section 70105(a)(2)?","What is the purpose of the $150,000,000 appropriation mentioned in SEC. 20006?"
1007764028,"What does the new subparagraph added to Section 151(d)(5) provide for seniors?","What change has been made to the QBI deduction calculation according to the amendment in section 199A(e)(1)?","What is the amount appropriated under SEC. 20005(a) for the development of airfields in the United States Indo-Pacific Command area of operations?","What is the main focus of Section 70104(e)?","What does SEC. 60017 say about funding for ESA recovery plans?"
1012563067,"What is required for a taxpayer to be eligible for credit on a tax return?","What is the total amount allocated for depot maintenance in the special appropriation?","What is the updated barley reference price effective from the 2025 crop year?","What year does the amendment change '2017' to in subparagraph (B)(ii)(II)?","What does section 30002 of Public Law 117–169 address in terms of funding for the Green and Resilient Retrofit Program?"
1012859177,"What is the deadline for the Secretary of the Interior to establish the fair market value of a coal tract after the enactment of this Act?","What is the allocated budget for the Office of Strategic Capital Global Technology Scout program under SEC. 20002?","What happens to the $2,200 credit amount for a taxable year beginning after 2025?","What is the purpose of a social security number?","What condition must be met for the Secretary of the Interior to deny an operator's request to commingle oil or gas production from multiple reservoirs within a single wellbore on the outer Continental Shelf?"
1006925945,"What happens if a state's 2026 error rate, when multiplied by 1.5, is at least twenty percent?","What is the amount appropriated under SEC. 20007 to accelerate production of MQ-25 aircraft?","What is the maximum limit for territorial cost adjustments according to Section 10101?","What should be assumed when there is a reference to amending or repealing a section in Title VII?","What does section 30003(c) specify about programs, projects, or activities that are ongoing before the enactment of the Act?"
1012837405,"What is stipulated in Section 70103(a)(3)(C)(i)?","What change was made to the monetary amounts in paragraph (3) of section 199A(d)?","How much funding is allocated for the Defense Advanced Research Projects Agency casualty care research under SEC. 20001(a)?","What specific amendment is made to section 5(k)(4)(A) under Section 10103 regarding third-party energy assistance?","What is the purpose of the Reserve Fund according to section 30003(b)?"
